,RegioS,GemiddeldeVerkoopprijs_1,GemiddeldeWOZWaardeVanWoningen_1,GemiddeldeDoorlooptijd_12
0,Nederland,307978,29900,22
1,Noord-Nederland (LD),230412,22700,20
2,Oost-Nederland (LD),281575,27900,21
3,West-Nederland (LD),344342,33100,22
4,Zuid-Nederland (LD),290853,28800,22
5,Groningen (PV),219283,21500,20
6,Fryslân (PV),230643,22800,
7,Drenthe (PV),241941,24000,21
8,Overijssel (PV),260130,26500,18
9,Flevoland (PV),269589,24800,20
10,Gelderland (PV),296243,29400,23
11,Utrecht (PV),371727,36100,20
12,Noord-Holland (PV),396601,37400,24
13,Zuid-Holland (PV),305261,29900,22
14,Zeeland (PV),242998,23700,18
15,Noord-Brabant (PV),310254,30900,21
16,Limburg (PV),243850,24300,25
17,Aa en Hunze,284794,27600,27
18,Aalsmeer,409304,39300,44
19,Aalten,226080,23400,16
20,Achtkarspelen,216483,21700,11
21,Alblasserdam,268447,25700,13
22,Albrandswaard,361942,33000,17
23,Alkmaar,286883,26700,31
24,Almelo,209973,21100,26
25,Almere,294284,25000,21
26,Alphen aan den Rijn,286500,28800,28
27,Alphen-Chaam,347848,36800,23
28,Altena,291448,29100,
29,Ameland,321196,27400,14
30,Amersfoort,358651,34100,20
31,Amstelveen,525247,49400,19
32,Amsterdam,484995,49500,24
33,Apeldoorn,287155,29500,22
34,Appingedam,194795,18000,2
35,Arnhem,260635,26500,18
36,Assen,228658,22200,26
37,Asten,334156,33700,15
38,Baarle-Nassau,334058,33400,29
39,Baarn,431161,39100,17
40,Barendrecht,352460,32100,20
41,Barneveld,359070,34400,17
42,Beek,231409,23600,11
43,Beekdaelen,248905,24000,
44,Beemster,437693,41000,21
45,Beesel,233443,23200,12
46,Berg en Dal,292830,29200,20
47,Bergeijk,335601,34000,18
48,Bergen (L.),240030,25500,29
49,Bergen (NH.),488406,44700,24
50,Bergen op Zoom,255679,26300,15
51,Berkelland,265879,27900,20
52,Bernheze,327786,34200,24
53,Best,341016,32500,27
54,Beuningen,299340,28700,20
55,Beverwijk,258905,25800,16
56,De Bilt,481411,50000,44
57,Bladel,334264,32300,19
58,Blaricum,775909,71100,16
59,Bloemendaal,831578,80900,27
60,Bodegraven-Reeuwijk,330097,34800,18
61,Boekel,315919,31500,23
62,Borger-Odoorn,233711,22200,12
63,Borne,270534,27700,11
64,Borsele,241363,24600,8
65,Boxmeer,293693,28900,22
66,Boxtel,337626,32000,17
67,Breda,349971,34200,26
68,Brielle,295460,26800,23
69,Bronckhorst,312686,30800,29
70,Brummen,314125,30600,16
71,Brunssum,174186,17200,40
72,Bunnik,405915,38600,25
73,Bunschoten,326403,31900,21
74,Buren,324945,34100,17
75,Capelle aan den IJssel,265359,25500,17
76,Castricum,369741,34600,21
77,Coevorden,236021,23600,29
78,Cranendonck,283676,29100,28
79,Cuijk,281980,26200,21
80,Culemborg,299647,27300,14
81,Dalfsen,303668,32400,11
82,Dantumadiel,234227,22000,16
83,Delft,311299,29700,13
84,Delfzijl,155120,15100,12
85,Deurne,298007,31800,13
86,Deventer,264234,26200,20
87,Diemen,389213,34600,26
88,Dinkelland,279197,31600,21
89,Doesburg,256299,24400,18
90,Doetinchem,256356,25200,25
91,Dongen,289661,28000,20
92,Dordrecht,237053,23300,25
93,Drechterland,316459,30000,15
94,Drimmelen,289554,28400,20
95,Dronten,255563,26500,18
96,Druten,285068,27900,10
97,Duiven,267400,25400,48
98,Echt-Susteren,241334,24100,57
99,Edam-Volendam,326325,30200,34
100,Ede,302817,31500,20
101,Eemnes,423048,38300,21
102,Eemsdelta,,,
103,Eersel,322493,34600,23
104,Eijsden-Margraten,322239,28700,26
105,Eindhoven,308793,30700,22
106,Elburg,290570,29000,23
107,Emmen,205734,19600,13
108,Enkhuizen,242843,23600,23
109,Enschede,236580,23300,14
110,Epe,340893,34800,31
111,Ermelo,338278,35400,24
112,Etten-Leur,300580,29500,21
113,De Fryske Marren,268780,26100,12
114,Geertruidenberg,259361,26700,12
115,Geldrop-Mierlo,298943,30400,16
116,Gemert-Bakel,305286,31700,19
117,Gennep,270151,26800,24
118,Gilze en Rijen,304871,29500,17
119,Goeree-Overflakkee,274637,27100,16
120,Goes,268724,26100,16
121,Goirle,339223,31700,18
122,Gooise Meren,510207,50500,23
123,Gorinchem,265976,26900,23
124,Gouda,251188,24900,28
125,Grave,269827,25300,27
126,'s-Gravenhage gemeente,324838,32200,21
127,Groningen gemeente,258873,25600,23
128,Gulpen-Wittem,266622,26400,29
129,Haaksbergen,271752,27600,18
130,Haaren,396206,37200,21
131,Haarlem,417583,39700,24
132,Haarlemmermeer,372300,33300,23
133,Halderberge,304176,29500,26
134,Hardenberg,248364,24800,19
135,Harderwijk,321594,30300,24
136,Hardinxveld-Giessendam,267363,27200,17
137,Harlingen,216426,20700,50
138,Hattem,296484,32900,12
139,Heemskerk,318055,30700,17
140,Heemstede,626574,59000,32
141,Heerde,327509,31000,21
142,Heerenveen,257836,25800,13
143,Heerhugowaard,283079,25600,17
144,Heerlen,182279,17700,46
145,Heeze-Leende,353329,37700,21
146,Heiloo,388752,38000,24
147,Den Helder,175079,18300,20
148,Hellendoorn,270821,27400,22
149,Hellevoetsluis,268772,24600,27
150,Helmond,286812,27200,22
151,Hendrik-Ido-Ambacht,319455,28400,15
152,Hengelo,233423,23300,16
153,'s-Hertogenbosch,333172,34500,21
154,Heumen,362576,32200,14
155,Heusden,330920,31700,15
156,Hillegom,329777,29600,23
157,Hilvarenbeek,362634,35100,23
158,Hilversum,404786,40400,26
159,Hoeksche Waard,297347,27900,
160,Hof van Twente,274670,29500,15
161,Het Hogeland,188784,19500,
162,Hollands Kroon,257549,25900,29
163,Hoogeveen,209654,21200,16
164,Hoorn,273490,25000,17
165,Horst aan de Maas,270171,28100,19
166,Houten,384695,36800,17
167,Huizen,408548,38000,15
168,Hulst,225322,23300,43
169,IJsselstein,358675,30600,19
170,Kaag en Braassem,363467,34700,15
171,Kampen,250239,25600,18
172,Kapelle,260592,26500,12
173,Katwijk,339783,33200,20
174,Kerkrade,181691,17700,42
175,Koggenland,277496,28600,24
176,Krimpen aan den IJssel,300039,28300,21
177,Krimpenerwaard,312776,30000,36
178,Laarbeek,314068,31600,25
179,Landerd,325429,34600,18
180,Landgraaf,208795,19800,28
181,Landsmeer,423804,45300,33
182,Langedijk,351227,30500,23
183,Lansingerland,396044,36000,24
184,Laren,768056,72400,19
185,Leeuwarden,215883,20300,22
186,Leiden,349233,35100,23
187,Leiderdorp,325687,32300,13
188,Leidschendam-Voorburg,340427,33800,35
189,Lelystad,242923,22000,21
190,Leudal,255954,25800,30
191,Leusden,354700,35800,26
192,Lingewaard,290167,28800,13
193,Lisse,353896,32500,19
194,Lochem,365568,35500,20
195,Loon op Zand,306774,29500,21
196,Lopik,350796,32200,20
197,Loppersum,192374,19200,5
198,Losser,247547,26400,24
199,Maasdriel,318200,31800,21
200,Maasgouw,254930,24300,37
201,Maassluis,251727,25200,14
202,Maastricht,283456,28300,27
203,Medemblik,292067,27600,18
204,Meerssen,300239,28500,8
205,Meierijstad,326440,32000,18
206,Meppel,255702,24400,17
207,Middelburg,257953,23100,18
208,Midden-Delfland,399595,36600,22
209,Midden-Drenthe,261194,25300,27
210,Midden-Groningen,206726,19900,
211,Mill en Sint Hubert,312417,29500,24
212,Moerdijk,272935,26600,37
213,Molenlanden,302028,32300,
214,Montferland,277385,25000,18
215,Montfoort,337359,32300,10
216,Mook en Middelaar,339042,32800,41
217,Neder-Betuwe,309005,28300,14
218,Nederweert,283744,31500,18
219,Nieuwegein,278325,26800,13
220,Nieuwkoop,344377,33600,12
221,Nijkerk,354348,35100,18
222,Nijmegen,293780,30000,31
223,Nissewaard,237789,22000,18
224,Noardeast-Fryslân,194819,19600,
225,Noord-Beveland,238056,23500,15
226,Noordenveld,292763,26600,15
227,Noordoostpolder,226690,24800,18
228,Noordwijk,385030,38900,30
229,,,,
230,Nunspeet,326608,32800,17
231,Oegstgeest,432400,45300,19
232,Oirschot,366307,35500,16
233,Oisterwijk,415795,38600,14
234,Oldambt,175832,17300,23
235,Oldebroek,284316,30900,23
236,Oldenzaal,274515,27200,28
237,Olst-Wijhe,307782,28900,12
238,Ommen,277235,28700,35
239,Oost Gelre,258210,24100,44
240,Oosterhout,307380,28800,29
241,Ooststellingwerf,238187,24300,15
242,Oostzaan,429343,37500,19
243,Opmeer,288932,28200,21
244,Opsterland,254852,25300,11
245,Oss,264775,27900,19
246,Oude IJsselstreek,247024,24700,25
247,Ouder-Amstel,494115,49100,56
248,Oudewater,360006,34700,43
249,Overbetuwe,316978,28400,39
250,Papendrecht,256448,25200,20
251,Peel en Maas,279723,28000,22
252,Pekela,161257,15000,30
253,Pijnacker-Nootdorp,375870,35600,15
254,Purmerend,295650,27200,24
255,Putten,398712,38100,23
256,Raalte,285841,29100,13
257,Reimerswaal,217424,23000,8
258,Renkum,352440,34200,51
259,Renswoude,336929,36100,17
260,Reusel-De Mierden,338747,31700,22
261,Rheden,282833,27000,26
262,Rhenen,360623,34500,26
263,Ridderkerk,256618,24800,19
264,Rijssen-Holten,287331,27200,14
265,Rijswijk,280781,28700,17
266,Roerdalen,242138,24500,19
267,Roermond,251213,24400,2
268,De Ronde Venen,444854,40300,18
269,Roosendaal,257331,25800,16
270,Rotterdam,282910,26300,31
271,Rozendaal,667428,51300,31
272,Rucphen,290092,30800,17
273,Schagen,279396,27900,46
274,Scherpenzeel,319781,30200,17
275,Schiedam,220493,21600,19
276,Schiermonnikoog,350824,28100,11
277,Schouwen-Duiveland,303163,29000,19
278,Simpelveld,227444,21100,49
279,Sint Anthonis,319856,32700,18
280,Sint-Michielsgestel,391957,35700,18
281,Sittard-Geleen,218196,21700,19
282,Sliedrecht,257417,24600,19
283,Sluis,246366,23500,27
284,Smallingerland,233493,21900,23
285,Soest,394385,38400,27
286,Someren,317973,32600,14
287,Son en Breugel,400261,36300,20
288,Stadskanaal,185491,19500,12
289,Staphorst,265255,29300,19
290,Stede Broec,270874,24400,39
291,Steenbergen,250782,25100,13
292,Steenwijkerland,250383,26200,16
293,Stein,236204,22900,9
294,Stichtse Vecht,383891,37400,24
295,Súdwest-Fryslân,225650,24300,17
296,Terneuzen,201581,20000,19
297,Terschelling,327548,35000,19
298,Texel,321732,31300,14
299,Teylingen,395293,36900,24
300,Tholen,232909,22100,22
301,Tiel,260785,25400,27
302,Tilburg,265272,26400,19
303,Tubbergen,317491,32100,19
304,Twenterand,248957,25700,16
305,Tynaarlo,309779,30000,13
306,Tytsjerksteradiel,235601,23100,19
307,Uden,304260,30800,21
308,Uitgeest,336959,32400,54
309,Uithoorn,364524,33200,18
310,Urk,243089,23600,22
311,Utrecht gemeente,379770,37400,20
312,Utrechtse Heuvelrug,442777,42400,30
313,Vaals,228667,22400,22
314,Valkenburg aan de Geul,275708,26400,
315,Valkenswaard,302218,31600,22
316,Veendam,187460,17100,27
317,Veenendaal,286669,28600,22
318,Veere,332804,29900,22
319,Veldhoven,351668,34300,19
320,Velsen,343305,33100,24
321,Venlo,245618,24000,15
322,Venray,258421,26700,17
323,Vijfheerenlanden,303974,29600,
324,Vlaardingen,231415,23300,21
325,Vlieland,404084,33400,7
326,Vlissingen,197372,19700,17
327,Voerendaal,274747,26600,38
328,Voorschoten,426883,40400,46
329,Voorst,344667,35200,13
330,Vught,449625,44900,25
331,Waadhoeke,209107,19700,
332,Waalre,434328,37900,19
333,Waalwijk,289596,28000,21
334,Waddinxveen,271966,28000,14
335,Wageningen,312915,32800,44
336,Wassenaar,711264,72200,21
337,Waterland,424174,38800,23
338,Weert,275523,27600,19
339,Weesp,386545,35300,18
340,West Betuwe,341269,31800,
341,West Maas en Waal,308391,28700,16
342,Westerkwartier,240808,24500,
343,Westerveld,279468,30300,13
344,Westervoort,249739,23400,89
345,Westerwolde,210185,20800,
346,Westland,326304,33200,18
347,Weststellingwerf,233375,24200,14
348,Westvoorne,394821,38000,16
349,Wierden,311026,29300,21
350,Wijchen,283747,28400,21
351,Wijdemeren,431841,43100,24
352,Wijk bij Duurstede,329009,31000,21
353,Winterswijk,214007,22600,15
354,Woensdrecht,282366,27500,23
355,Woerden,364273,33400,30
356,De Wolden,290754,30200,15
357,Wormerland,349705,31200,20
358,Woudenberg,367155,34300,19
359,Zaanstad,292803,27200,32
360,Zaltbommel,302713,29400,12
361,Zandvoort,408267,39400,
362,Zeewolde,275729,31000,15
363,Zeist,454469,47100,17
364,Zevenaar,243504,24100,23
365,Zoetermeer,289012,26600,16
366,Zoeterwoude,306316,35000,16
367,Zuidplas,323920,31800,17
368,Zundert,313667,31700,26
369,Zutphen,266585,24600,38
370,Zwartewaterland,241246,24600,18
371,Zwijndrecht,252159,24000,38
372,Zwolle,293098,29500,15
373,Voerendaal,274747,26600,38
374,Apeldoorn,287155,29500,22
375,Noord-Brabant (PV),310254,30900,21
376,Valkenburg aan de Geul,275708,26400,
377,Bladel,334264,32300,19
378,Oost Gelre,258210,24100,44
379,Castricum,369741,34600,21
380,Goeree-Overflakkee,274637,27100,16
381,Tynaarlo,309779,30000,13
382,'s-Gravenhage gemeente,324838,32200,21
383,Vught,449625,44900,
